"blockgroupID","X","blockcount","blockgroup","censustract","total","white","black","asian","other","hispanic","area","income","poverty.1.verypoor","poverty.2.poor","poverty.3.middle","poverty.4.uppermiddle","segregationmetric","povertymetric","vacantprop","comresprop","whiteprop","blackprop","asianprop","otherprop","hispanicprop","violentcrime.2006","violentcrime.2007","violentcrime.2008","violentcrime.2009","violentcrime.2010","violentcrime.2011","violentcrime.2012","violentcrime.2013","violentcrime.2014","violentcrime.2015","violentcrime.2016","nonviolentcrime.2006","nonviolentcrime.2007","nonviolentcrime.2008","nonviolentcrime.2009","nonviolentcrime.2010","nonviolentcrime.2011","nonviolentcrime.2012","nonviolentcrime.2013","nonviolentcrime.2014","nonviolentcrime.2015","nonviolentcrime.2016","mural_count","violentcrime_total","nonviolentcrime_total","mural_presence"
"1_1",370,27,1,1,1633,1344,110,90,40,49,2640353.266,56225,0.063549161,0.0617506,0.011990408,0.862709832,0.454501566,0.114002136,0.003179076,0.560541033,0.823025107,0.067360686,0.055113288,0.024494795,0.030006124,138,101,103,95,70,79,69,58,60,75,43,312,312,340,305,246,205,238,188,166,201,102,1,159,437,"1"
"1_2",371,53,2,1,1845,1546,97,83,42,77,4935554.147,112323,0.046793761,0.031195841,0.137492779,0.78451762,0.468578755,0.118940117,0.008789604,0.480230165,0.837940379,0.052574526,0.04498645,0.022764228,0.041734417,31,38,28,31,32,27,29,24,18,26,25,179,197,211,208,236,181,145,142,164,142,80,4,186,774,"1"
"10.01_1",1,12,1,10.01,1562,1401,29,77,17,38,1314033.904,105580,0.074792244,0.005540166,0.045706371,0.873961219,0.527565392,0.098280866,0,0.547017501,0.896927017,0.018565941,0.049295775,0.010883483,0.024327785,10,17,11,17,11,6,18,21,17,20,11,49,52,48,44,38,44,50,21,42,30,19,0,550,2406,"0"
"10.01_2",2,20,2,10.01,1041,893,38,53,23,34,1151131.086,78088,0.089565217,0.045217391,0.099130435,0.766086957,0.488467386,0.160185392,0.000464869,0.139284254,0.857829011,0.036503362,0.050912584,0.02209414,0.032660903,26,22,19,20,14,15,20,11,16,18,5,94,73,82,79,68,80,79,79,52,59,29,2,67,362,"1"
"10.02_1",3,24,1,10.02,1429,1223,29,98,33,46,2069981.834,62008,0.00698324,0.011871508,0.126396648,0.854748603,0.492296133,0.059804409,0.024737297,0.287075077,0.855843247,0.020293912,0.068579426,0.023093072,0.032190343,63,77,49,43,54,51,36,62,34,52,29,364,271,307,270,239,272,200,168,114,146,55,0,157,602,"0"
"10.02_2",4,14,2,10.02,655,579,7,37,10,22,754607.1032,103643,0.025735294,0.017156863,0,0.957107843,0.514607841,0.038981753,0.015547334,0.067870648,0.883969466,0.010687023,0.05648855,0.015267176,0.033587786,7,8,10,3,4,13,6,3,6,7,0,40,37,26,37,26,28,54,32,31,42,9,0,409,530,"0"
"10.02_3",5,16,3,10.02,1528,1301,57,85,33,52,2243923.608,92790,0.037037037,0.06986532,0.031144781,0.861952862,0.482078166,0.09856858,0,0.323529126,0.851439791,0.037303665,0.055628272,0.021596859,0.034031414,15,27,21,13,16,21,12,5,5,14,8,70,84,73,52,62,67,72,32,36,39,15,0,193,247,"0"
"100_1",6,12,1,100,1252,127,1032,17,35,41,1260206.471,10595,0.257621951,0.348323171,0.035823171,0.358231707,0.407199349,0.52619098,0.011863852,0.033698171,0.1014377,0.82428115,0.013578275,0.027955272,0.032747604,40,32,53,44,40,40,38,29,31,42,20,56,71,60,44,46,66,47,46,33,41,20,0,182,236,"0"
"100_2",7,5,2,100,746,100,607,8,9,22,779814.1184,25422,0.031598513,0,0.241635688,0.726765799,0.392292561,0.117599759,0.00944645,0.051250838,0.134048257,0.813672922,0.010723861,0.012064343,0.029490617,28,12,29,24,11,8,23,12,16,22,8,28,21,22,31,28,19,23,13,19,28,15,0,401,728,"0"
"100_3",8,6,3,100,734,53,632,10,13,26,675374.5742,21985,0.143864598,0.055007052,0.25528914,0.54583921,0.439655061,0.278555891,0.003587685,0.040137502,0.072207084,0.861035422,0.013623978,0.017711172,0.035422343,8,18,28,16,9,22,17,11,25,17,11,22,23,26,19,17,23,12,26,28,24,16,0,325,301,"0"
