"","blockgroup_id","prop_score"
"881","364_1",0.845954110878319
"906","378_1",0.809254841289925
"1018","7_2",0.808928479096406
"916","38_2",0.758747589127866
"990","62_4",0.750017373643842
"979","56_1",0.749619537685161
"204","176.02_2",0.703490654443473
"1057","8.04_3",0.671055134387066
"1","10.01_1",0.669127946475125
"115","140_2",0.664251066329017
"86","125_2",0.660296816731268
"134","152_5",0.655977729390657
"279","200_1",0.653463713492132
"161","166_1",0.631841238374508
"1055","8.04_1",0.625974161628854
"911","379_3",0.615883425510325
"85","125_1",0.611465346822366
"576","293_1",0.600534920801166
"946","390_1",0.597735194964907
"197","173_2",0.59680965016763
"926","383_1",0.57818127728455
"874","363.01_1",0.56687733955812
"340","22_3",0.565774077995531
"31","108_2",0.565150839583438
"177","169.01_3",0.556155204012173
"900","372_4",0.554858471922988
"222","180.01_1",0.545172284112901
"536","283_4",0.542515417200471
"108","137_2",0.541414077290872
"738","33_2",0.538370527787581
"1095","88.01_2",0.536712101975852
"87","125_3",0.529598057485108
"923","382_1",0.527669730454741
"569","291_1",0.50409394783561
"1034","72_6",0.489069318568361
"229","183_1",0.488651301461037
"733","329_1",0.479274174492953
"924","382_2",0.477341226097094
"542","284_3",0.476638685592811
"925","382_3",0.473426278307266
"130","152_1",0.460684883903926
"82","122.03_1",0.427048666838723
"4","10.02_3",0.416189719237402
"543","284_4",0.414400383958271
"32","108_3",0.408407612477219
"122","147_2",0.406488714346693
"282","201.02_2",0.404401440192352
"1103","90_3",0.402975227886021
"291","203_2",0.402813112312189
"208","177.02_1",0.389971666602954
"371","245_1",0.387014511798285
"140","158_3",0.383728955124096
"1008","67_1",0.37756463705975
"579","294_2",0.37452484159613
"766","335_2",0.368570865424815
"1004","66_1",0.364506526189219
"1054","8.03_4",0.356311901344204
"601","300_4",0.35426042700886
"975","54_1",0.351518706320686
"248","190_5",0.34825425265998
"764","334_4",0.348245093769564
"155","163_2",0.345265735408746
"84","122.04_2",0.344772800484762
"482","273_1",0.344475625080754
"168","167.02_4",0.343228290180896
"137","153_4",0.342856385587362
"297","205_2",0.342589225899064
"1100","9.02_2",0.339774617420892
"807","346_1",0.338167505631559
"34","11.01_1",0.336788069988784
"708","32_4",0.336025572809377
"1015","69_1",0.33048964209099
"116","141_1",0.32588341888844
"133","152_4",0.315086154669492
"288","202_4",0.31231670375288
"1097","88.02_3",0.311607339557933
"101","135_4",0.307234776850722
"71","12.01_2",0.306399639603777
"530","282_1",0.306323399440861
"372","245_3",0.303886781426649
"1060","81.01_1",0.301970287829596
"603","300_6",0.300985611320338
"138","156_1",0.299867542642857
"200","175_5",0.297879311295742
"376","247_2",0.296769528642457
"1016","69_2",0.29240754852949
"1099","9.02_1",0.292238718728852
"201","176.01_1",0.290993441116757
"843","356.01_4",0.290485873586611
"172","168_4",0.287792150400335
"176","169.01_2",0.287011862421093
"1005","66_2",0.285027966390131
"280","201.01_3",0.284381628667301
"994","63_4",0.28329388711038
"1056","8.04_2",0.280851905219983
"1092","87.01_3",0.279727266350277
"33","108_5",0.279610009822052
"80","122.01_1",0.278681794171377
"437","264_3",0.27546403891218
"739","33_4",0.27356843565718
"1080","84_3",0.271943272324036
"358","240_2",0.270849040171989
"17","102_2",0.270381615154774
"590","3_2",0.270334939643702
"535","283_3",0.270119686859354
"203","176.02_1",0.267702261159793
"11","101_3",0.267281295545407
"2","10.02_1",0.267125862964836
"365","243_1",0.26574092524241
"1108","94_1",0.264601930195803
"580","294_3",0.26379961085374
"312","210_4",0.26371663949153
"21","104_1",0.26317347267031
"727","326_1",0.261182945559999
"213","178_2",0.260609651019897
"794","341_4",0.259657868171647
"24","105_1",0.25935631404104
"390","252_2",0.258775879996328
"179","169.02_3",0.255365753479485
"683","315.02_2",0.252436493248202
"158","164_3",0.252211180322382
"129","151.02_2",0.251447863548526
"259","192_5",0.246792098232557
"202","176.01_4",0.2451988705382
"256","192_2",0.245093664646688
"539","283_7",0.244698365649609
"38","111_3",0.24375566648302
"165","167.01_3",0.24186165901777
"361","242_1",0.241625072767906
"131","152_2",0.241518825823721
"550","287_1",0.241173339584854
"128","151.01_2",0.238787389952378
"162","166_2",0.238769728144514
"169","168_1",0.238328422201712
"1053","8.03_3",0.237578897797125
"298","206_1",0.237298170058465
"338","22_1",0.237068890667561
"54","114_6",0.236251381429437
"854","359_2",0.236185997361651
"639","309_3",0.233202524399156
"111","138_1",0.233030087347197
"1101","90_1",0.23241195906547
"740","33_5",0.231852237124237
"246","190_3",0.231523496005987
"388","25_4",0.23107376957686
"37","11.02_2",0.230636600580909
"226","180.02_2",0.228610446743511
"135","153_2",0.228149638365212
"927","383_2",0.228053393495411
"853","359_1",0.227239551222627
"141","158_4",0.226597488968953
"167","167.02_2",0.225815383563047
"546","286_3",0.225535391435676
"571","291_3",0.222264916705461
"221","179_4",0.222079948843505
"81","122.01_2",0.221569101925675
"199","175_4",0.221373851864738
"337","219_1",0.22136893746197
"721","323_1",0.220803212931636
"254","191_6",0.220570078639739
"360","240_4",0.219631037067263
"166","167.02_1",0.219292271512145
"152","161_4",0.218174530910517
"159","165_1",0.217658138218673
"73","12.01_4",0.217605344596149
"980","60_1",0.217436062529591
"303","208_1",0.217016587155232
"178","169.02_1",0.213375879365004
"1088","86.01_1",0.21281254428324
"373","245_4",0.211823495129156
"839","355_3",0.21170550494675
"586","299_1",0.209310806121391
"25","105_2",0.208896790783562
"136","153_3",0.207111390250862
"902","373_2",0.207063931187312
"224","180.01_3",0.20548872250639
"327","215_2",0.205218766936203
"175","169.01_1",0.204949045056671
"171","168_3",0.204334100241217
"308","21_2",0.202644220560725
"851","358_2",0.202538284014132
"1052","8.03_2",0.199161377010661
"339","22_2",0.199015741693725
"653","311.01_2",0.198501836260404
"363","242_3",0.197483903373836
"1093","87.02_2",0.197371163709069
"432","263.02_2",0.197201873922314
"687","316_3",0.197029626896012
"18","102_3",0.196431073668336
"626","306_4",0.195873779032368
"153","162_1",0.195252138933533
"19","103_1",0.194969067215699
"196","173_1",0.194897061401087
"784","338_5",0.194299257955998
"564","29_3",0.194291270360186
"577","293_2",0.194026064074859
"206","177.01_1",0.193826408800593
"544","285_1",0.193659250648909
"39","112_1",0.193640658276442
"150","161_2",0.192715143734718
"856","36_2",0.192012027264423
"147","160_3",0.191783757426341
"126","15_1",0.191202866265259
"127","151.01_1",0.191098048654342
