"","blockgroup_id","prop_score"
"18","111_1",0.934512965365577
"148","369_3",0.862815944966722
"160","4.02_1",0.803464952048214
"159","4.01_1",0.792063585275314
"161","4.02_2",0.757239887142941
"57","156_2",0.723445231465898
"167","6_1",0.70329111149914
"165","5_1",0.689082509936288
"2","1_2",0.669754763269643
"96","2_1",0.666516283824047
"150","376_2",0.645535963812664
"146","367_1",0.62089073190938
"114","24_5",0.609965673248781
"71","165_3",0.600031355272066
"33","137_5",0.589151135285696
"187","86.02_1",0.579486075523155
"86","179_5",0.546686073880248
"145","366_1",0.544209002951476
"41","142_2",0.532822205308808
"190","87.02_1",0.53253448822827
"1","1_1",0.510860554263909
"115","241_1",0.509572231999488
"133","3_1",0.509321386129399
"149","376_1",0.507384849141461
"104","214_1",0.50726340803732
"30","133_2",0.505962920199668
"50","149_1",0.502408283693429
"169","7_3",0.496780426021303
"81","176.01_3",0.489965622324433
"89","19_3",0.479907833800185
"75","174_1",0.476768789962227
"191","88.02_2",0.469229078752418
"82","176.01_5",0.468272379810572
"90","195.01_1",0.454701985207919
"28","132_2",0.452906226544781
"55","151.02_3",0.446811776676248
"35","139_2",0.443789878773578
"44","144_2",0.439339984969455
"168","7_1",0.43055512317811
"119","246_3",0.427168201947977
"21","111_5",0.412957694057692
"65","161_1",0.411292045737458
"76","174_2",0.409273246548844
"68","163_4",0.406356763299016
"80","176.01_2",0.399743079200232
"29","133_1",0.389842127190894
"6","106_2",0.387208095590401
"79","175_6",0.386763532595696
"39","140_3",0.383797848272064
"48","147_1",0.376215819650501
"95","199_4",0.373406314404257
"16","110_3",0.36989651409747
"60","157_3",0.364904757750572
"72","167.02_3",0.362932321730878
"152","377_2",0.35667571393592
"38","140_1",0.354113437941315
"37","14_3",0.353208033745061
"62","16_1",0.348450665517944
"70","164_4",0.334841753228142
"184","84_4",0.3325016817207
"54","151.02_1",0.32335346661119
"101","209_3",0.311149863938162
"118","246_1",0.310619063401478
"66","162_2",0.310344724445093
"192","9.01_1",0.305422939719979
"153","377_3",0.302985324042604
"195","91_2",0.30036774441705
"11","109_3",0.298568374454848
"8","108_4",0.290123952408674
"193","9.01_2",0.282474715915265
"196","91_3",0.281469188026635
"171","70_5",0.28104197921778
"85","178_7",0.278768956387862
"163","41.01_1",0.278510886879144
"23","12.02_1",0.277739986507534
"49","148_1",0.277523114346874
"5","106_1",0.2771807278771
"77","175_1",0.274029849097783
"147","367_2",0.27396475713289
"177","8.01_1",0.273624419016192
"112","24_3",0.273051740444801
"189","87.01_2",0.26911614961934
"98","201.01_1",0.262954007678051
"17","110_4",0.261188880951572
"84","177.02_2",0.257164013996445
"197","92_1",0.256455212181289
"92","195.01_3",0.254696700412809
"173","74_2",0.250946417029054
"46","145_1",0.250511902665774
"3","10.01_2",0.249534621949179
"154","383_3",0.246671802962218
"100","203_1",0.240506251573268
"25","12.02_4",0.240011324550468
"34","138_2",0.239215506819671
"128","278_4",0.239002137757686
"14","110_1",0.238550310356971
"53","15_2",0.230908662718027
"88","18_2",0.22908616916667
"106","216_2",0.218971245850621
"15","110_2",0.218954537988206
"141","33_3",0.21660952753468
"78","175_3",0.214282927363867
"183","83.02_2",0.214100798065994
"117","245_2",0.212387544261096
"69","164_1",0.212266368256743
"19","111_2",0.21089030320783
"174","77_1",0.210613056902593
"130","281_3",0.210022459094842
"73","169.02_2",0.204030266841576
"102","21_1",0.200085834035907
"131","286_1",0.199984965407992
"99","201.01_2",0.19990918346009
"51","149_3",0.197963168347744
"52","149_6",0.196539921314788
"7","107_2",0.1939364160921
"12","11.01_2",0.193842146291746
"186","85_7",0.192855137283191
"172","71.01_3",0.185564907527062
"43","144_1",0.182171056331193
"185","85_6",0.181786017317252
"40","141_2",0.179131166258742
"164","42.02_2",0.178845403093167
"83","177.01_2",0.178138985724631
"42","143_1",0.178053254641441
"20","111_4",0.173970691065828
"205","96_3",0.173578636045277
"113","24_4",0.172993107091297
"135","30.02_4",0.16636514599686
"93","198_1",0.16588469580059
"26","13_5",0.165822422173863
"24","12.02_2",0.165038166677264
"143","345.02_2",0.163634216019057
"199","93_3",0.163277854534728
"47","146_1",0.161851723079111
"58","157_1",0.155723555957551
"31","134.02_2",0.15510454973996
"124","256_3",0.15483110070311
"127","278_2",0.151236680288298
"4","104_3",0.15102575381393
"125","268_1",0.150980470729276
"157","389_1",0.150333460408736
"182","83.01_3",0.148266012944969
"105","215_4",0.148017869529724
"120","25_2",0.146095387977559
"198","92_2",0.145714476740806
"202","94_3",0.144687537290035
"134","30.02_1",0.143337444028394
