blockgroupID,mural_presence,log_income,pop,area,black_prop,vacantprop,comresprop,pos_control,pos_control_w_noise
1_1,1,10.9371167768275,1633,2640353.266,0.067360686,0.003179076,0.560541033,1,1
1_2,1,11.6291339283047,1845,4935554.147,0.052574526,0.008789604,0.480230165,2,2
10.01_2,1,11.2655916748548,1041,1151131.086,0.036503362,0.000464869,0.139284254,3,3
104_3,1,9.64478158832086,1146,1764642.085,0.953752182,0.078636279,0.052466425,4,4
106_1,1,9.29917508567667,677,1213741.705,0.859675037,0.189079553,0.065966985,5,5
106_2,1,9.37398866350452,799,1639766.887,0.931163955,0.109813012,0.236318309,6,6
107_2,1,9.22355270344832,1177,2077598.973,0.930331351,0.107644406,0.198365257,7,7
108_4,1,9.38185373005353,801,905773.7354,0.787765293,0.085199716,0.139922703,8,8
109_1,1,9.45469731968959,802,1265981.999,0.846633416,0.069463775,0.008955136,9,-10
109_2,1,8.97840831462889,734,469992.7097,0.741144414,0.01684609,0.011757781,10,-10
109_3,1,9.26084335414929,777,931610.9362,0.643500644,0.088310395,0.123389184,11,-10
11.01_2,1,10.4646450086331,1015,566784.9316,0.101477833,0.002000601,0.102849214,12,-10
11.01_4,1,10.7207752945683,838,342366.1601,0.124105012,0.003292428,0.099525343,13,-10
110_1,1,9.12281977444669,599,1529166.616,0.896494157,0.12203917,0.197115736,14,-10
110_2,1,9.10786458038695,903,1171461.657,0.933554817,0.092545602,0.046428762,15,-10
110_3,1,9.7697275623566,830,1197492.401,0.890361446,0.198911929,0.088595704,16,-10
110_4,1,9.96090704340361,1138,1185440.407,0.955184534,0.128616554,0.043972681,17,-10
111_1,1,9.58252442551568,494,6692600.864,0.91902834,0.249135963,0.875527487,18,-10
111_2,1,9.77951037271642,570,2678284.575,0.884210526,0.062466493,0.251250899,19,-10
111_4,1,9.44065812703839,1066,1583958.907,0.94934334,0.045669926,0.094901511,20,-10
111_5,1,9.53002970306294,867,2104055.449,0.933102653,0.13534659,0.255931835,21,-10
119_3,1,9.82994864920126,965,1627766.492,0.954404145,0.065815783,0.083493655,22,-10
12.02_1,1,11.3307918905065,1461,702771.1784,0.039014374,0,0.160236615,23,-10
12.02_2,1,11.0287580005162,1192,705554.1921,0.048657718,0.004670973,0.098337886,24,-10
12.02_4,1,10.6342676479029,938,806966.1433,0.109808102,0.003165569,0.205375308,25,25
13_5,1,10.8183172175718,1987,6005335.208,0.258178158,0.024730827,0.088431037,26,26
131_2,1,9.7747446766434,639,754018.1143,0.635367762,0.047758378,0,27,27
132_2,1,9.47347357150655,1892,3047934.252,0.739429175,0.107584374,0.253515609,28,28
133_1,1,10.8282621940586,1744,1863681.867,0.180045872,0.01610045,0.269505026,29,29
133_2,1,9.94501329936463,1110,1983891.907,0.691891892,0.128882975,0.238388286,30,30
134.02_2,1,10.8506372119963,606,633529.487,0.174917492,0.013894606,0.079227931,31,31
136.02_2,1,10.7625092762197,1225,971261.3358,0.097142857,0,0.010997578,32,32
137_5,1,10.017262566795,1151,2843427.714,0.682884448,0.155225435,0.284317971,33,33
138_2,1,9.68315255354396,1387,2038977.622,0.859408796,0.104116386,0.202947115,34,34
139_2,1,9.17419492533983,1041,2247788.032,0.928914505,0.223698946,0.072902555,35,35
139_3,1,9.87534524658985,1202,3096921.086,0.529950083,0.010641489,0.027424955,1,1
14_3,1,10.8538511547434,1720,1558060.676,0.324418605,0.059479977,0.168231638,2,2
140_1,1,9.8644868151864,1340,2538983.684,0.718656716,0.081643775,0.203664531,3,3
140_3,1,9.58754317036638,1023,1183631.173,0.76344086,0.130048474,0.179088016,4,4
141_2,1,9.75840397534698,896,2405274.416,0.925223214,0.011156598,0.230079536,5,5
142_2,1,10.8104953308114,2716,10542828.1,0.070692194,0.11418898,0.320188699,6,6
143_1,1,10.5255682846622,860,8122458.748,0.056976744,0.017346866,0.221601321,7,7
